Player,Rank,ADP,Finish2024,Team,Pos,PosRank,Notes,Id
Jaydon Blue,212,156,,DAL,RB,65,Rookie,e4a0d065-ce78-4bf8-8e8e-ecce74e7e30c
Kareem Hunt,213,211.8,,KC,RB,66,,011d7af8-9fc6-47e2-b1c7-60ad22188306
Devin Neal,214,215.6,,NO,RB,67,Rookie,afc52d6b-e9cd-412f-8025-9926540ac5c5
Devin Singletary,215,216,160,NYG,RB,68,,ca78bb58-7fcc-48a2-9e66-5c5f01a1e0bb
Keaton Mitchell,216,212.4,,BAL,RB,69,,b760285b-f146-44b7-91a6-80b79734aa3a
Elijah Arroyo,217,190.1,,SEA,TE,32,Rookie,c9fab627-9cbf-4cfe-b2fa-288604ae1755
Tre Tucker,218,215.7,154,LV,WR,84,,aaefaf37-9d15-4306-ad32-8f6245e98a4d
Andrei Iosivas,219,205.8,185,CIN,WR,85,,d49688f7-ce90-44b2-99ee-0b1c78eec8f3
Jalen Coker,220,211.7,138,CAR,WR,86,,c9e2cfc7-8db1-49ab-944b-61108f687aca
Ray-Ray McCloud III,221,213.4,211,ATL,WR,87,,4c50a7a3-7ac8-442f-a792-11977cea9322
Jalen Tolbert,222,215.3,155,DAL,WR,88,,d85fae4b-67cb-4828-93ad-d968f275c6d5
Josh Reynolds,223,215.1,255,NYJ,WR,89,,b700e4d6-99b4-48cc-80a5-ca0bf0a54a68
Diontae Johnson,224,215.4,,CLE,WR,90,,4a91b789-1968-4e0c-9ec3-3f4fa98de1f2
KaVontae Turpin,225,215.2,216,DAL,WR,91,,139d7f99-b270-4a99-832b-41bf0deb358f
Tyler Higbee,226,215.5,,LA,TE,33,,ef67177a-49c1-49d1-a6df-20ae9588b890
Pat Freiermuth,227,212.9,140,PIT,TE,34,,49d82bda-e7fe-487a-83ab-0f4bd9e431d1
Cole Kmet,228,215.6,133,CHI,TE,35,,dc435bd0-ebd3-479f-b9bf-529569dff43c
Dontayvion Wicks,229,212,178,GB,WR,92,,5938bf65-bd79-454f-921a-94d0b1a4c3b4
Adonai Mitchell,230,213.6,289,IND,WR,93,,0ad724ff-2212-4ec4-8261-793e76298a17
Isaac TeSlaa,231,215,,DET,WR,94,Rookie,383c8d7f-a817-4096-a6b6-a6b1366d87fb
Dont'e Thornton,232,189,,LV,WR,95,Rookie,7062199b-47a5-4de1-bc7d-22640861b406
Woody Marks,233,214,,HOU,RB,70,Rookie,1dd1d43a-bb2c-4293-b086-af81f7f8a31f
Phil Mafah,234,216,,DAL,RB,71,Rookie,6a877013-40bd-4cc0-b7f0-412099ff37f5
Trevor Etienne,235,215.7,,CAR,RB,72,Rookie,8aa163b7-5f2f-4ed5-a721-79fd60ba544e
Brashard Smith,236,198.7,,KC,RB,73,Rookie,edeb9b06-d0b7-44cc-ac47-971fa68ff0a6
Tahj Brooks,237,208.2,,CIN,RB,74,Rookie,10b8eca4-c667-4927-a2ab-e24021ad18a5
Kenny Pickett,238,216,,CLE,QB,34,,9a574823-c8b6-440c-b9ce-708c92a9613b
Kirk Cousins,239,215.9,143,ATL,QB,35,Trade Candidate,74d0909b-cf5a-416d-9d46-d83b34c9d947
Jalen Milroe,240,215.4,,SEA,QB,36,Rookie,58c31228-6972-47f8-a167-e7fac175f5bb
Noah Gray,241,214.4,174,KC,TE,36,,a18edd62-1cc8-484e-b729-3f9c591887ad
Darren Waller,242,202.9,,MIA,TE,37,,0126a927-560d-4751-9de5-9aee8a3a8a67
Nick Westbrook-Ikhine,243,215.7,105,MIA,WR,96,,33f93253-33a6-4e0f-8d93-815366d14090
Amari Cooper,244,215.6,125,,WR,97,Free Agent,2c7e2974-109f-48af-aa38-6ca441540779
Tai Felton,245,215.8,,MIN,WR,98,Rookie,edf095fc-4f26-470b-9967-e307126ced5b
Elic Ayomanor,246,212.8,,TEN,WR,99,Rookie,e62e6781-add8-4eaa-9713-1448b8ff72a5
Jalen Royals,247,208,,KC,WR,100,Rookie,a46b6ee1-e38e-48cc-9d43-0917418812fc
Harold Fannin,248,215.3,,CLE,TE,38,Rookie,2d084934-667e-4903-b462-a33b9041291d
Oronde Gadsden,249,214.7,,LAC,TE,39,Rookie,e7bd3b67-74c9-40f4-a747-d67e35c609fb
Ben Sinnott,250,215.3,,WAS,TE,40,,da6aa094-cee3-40a8-aef1-4a8941967c3f
Isaiah Davis,251,215.9,204,NYJ,RB,75,,6740daf6-d0f8-46cd-ae2c-7dc4774b6de0
Ollie Gordon,252,215.7,,MIA,RB,76,Rookie,831716ac-821d-4b07-8f37-36886cc43843
Elijah Mitchell,253,215.2,,KC,RB,77,,ccc75043-457f-471e-9735-d76568cc2bb1
Kyle Monangai,254,214.8,,CHI,RB,78,Rookie,2521c244-cb3c-497e-b928-9c2f542bb7c3
Jaleel McLaughlin,255,216,252,DEN,RB,79,,3f3d0fff-d453-44b9-acec-0a9610deea75
Joe Flacco,256,215.7,199,CLE,QB,37,,868448b8-f53a-4c9e-a15d-8ed8f40b27d4
Will Dissly,257,215.9,200,LAC,TE,41,,0ea8521f-7fe9-4feb-8383-d4c68de52a02
Chimere Dike,258,215.9,,TEN,WR,101,Rookie,66414585-fa5d-408a-911c-cf897e5bbefc
Brandin Cooks,259,215.9,239,NO,WR,102,,e2a9db24-836f-410b-8fbc-92ebf65aa172
Allen Lazard,260,216,85,NYJ,WR,103,,50224a13-c0a8-4226-8e19-56fc4c0e257b
Devaughn Vele,261,215.4,186,DEN,WR,104,,c52baf98-fb75-4227-9701-7b1b57eea6f7
Tory Horton ,262,215.8,,SEA,WR,105,Rookie,0407fcef-4a8c-4e2f-bef3-779851de306f
Jahan Dotson,263,215.8,268,PHI,WR,106,,c423d62d-5442-42d4-a157-331f61d8c0a8
